"rob_ID",".id","ID","biorxiv","published","title","year","journal","doi","author","author_name","author_email","author_address","hypothesis","rationale","MR_design","outcome","outcome_info","outcome_group","outcome_definition","outcome_study","outcome_age_range","outcome_sex","outcome_n_case_current","outcome_n_control_current","outcome_n_case_og","outcome_n_control_og","outcome_n_difference_reason","outcome_health_status","outcome_population","exposure","exposure_definition","exposure_study","exposure_age","exposure_sex","exposure_n_current","exposure_n_og","exposure_n_difference_reason","exposure_health_status","exposure_population","exposure_covariates_model","exposure_genotyping_dataset","exposure_independence","exposure_pleiotropy","exposure_pvalue","exposure_palindrome","exposure_proxy","exposure_HWE","IV_single","IV_multiple","IV_GRS","n_SNP_og","n_SNP_difference_reason","power_calculation","power_calculation_how","MR_method","MR_sensitivity_method1","MR_sensitivity_method2","MR_sensitivity_method3","MR_sensitivity_method4","MR_sensitivity_method5","MR_sensitivity_method_results","IV_strength","analysis_software","analysis_programme","replication_independent","replication_subsetting","multiple_testing","exposure_units","outcome_units","effect_estimate","estimate","se","ci_percent","ci_lower","ci_upper","p","adjustment_method","p_adjusted","limitations_overall","limitations_pleiotropy","limitations_population_stratification","limitations_statistical_power","notes",".id2","formatted_estimate","formatted_ci_lower","formatted_ci_upper"
52,"metabolic_fasting_glucose_BMI.csv",173,"no","yes","The role of glycaemic and lipid risk factors in mediating the effect of BMI on coronary heart disease: a two-step, two-sample Mendelian randomisation study",2017,"Diabetologia","10.1007/s00125-017-4396-y","Xu","Debbie A. Lawlor","d.a.lawlor@bristol.ac.uk","MRC Integrative Epidemiology Unit, University of Bristol, UK.","Effect of body mass index on coronary heart disease and potential mediators","The extent to which effects of BMI on CHD are mediated by glycaemic and lipid risk factors is unclear. In this study we examined the effects of these traits using genetic evidence.","Two-sample summary-level","fasting glucose","fasting glucose","metabolic","continous measured","Dupuis 2010 Fasting insulin European both","18+","both",2,NA,38238,NA,NA,"healthy","European","BMI","BMI","Locke 2015 BMI European adults both","18+","both","322154",322154,NA,"Healthy","Europeans",NA,NA,"< 0.1","Not discussed","p < 5×10-8","Not discussed","Yes","Not discussed",NA,NA,77,77,NA,"Not discussed",NA,"Inverse variance weighted","MR Egger",1,NA,NA,NA,"Consistent with main analysis","F > 500","STATA and R","Not discussed","Not discussed","Not discussed","Not discussed","SD","mmol/L","beta",0.07,NA,95,0.03,0.11,0.001,"Not discussed","Not discussed","Another potential limitation to our study is that we have assumed no interaction betweenBMI and mediators, but we are not able to test for this because we have used aggregated genome-wide data.","Horizontal pleiotropy is one of the major concerns in relation to limitations of MR studies. However, to explore the potential effects of this pleiotropy, we used different MR methods (IVW, medianbased estimators and MR-Egger) that have different assumptions and we assessed the consistency across each of these estimators. The mediators that we took forward into MR-based mediation analyses (triacylglycerols, HbA1c and type 2 diabetes) had consistent causal effects across these different methods for both steps (i.e. the effect ofBMI on them and of them on CHD). In the mediation analyses, where we include both genetically predicted triacylglycerols and HbA1c, we are assuming that these factors are not causally related to each other. We tested for causal relationships between potential mediators prior to our main two-step MR analyses and these do not suggest any causal effects between triacylglycerols and HbAlc or other glycaemic traits.","Not discussed","Not discussed",NA,"BMI on fasting glucose",0.07,0.03,0.11
53,"metabolic_HbA1c.csv",48,"no","yes","The Role of Adiposity in Cardiometabolic Traits: A
Mendelian Randomization Analysis",2013,"PLOS Medicine","10.1371/journal.pmed.1001474","Fall","Erik Ingelsson","erik.ingelsson@medsci.uu.se","Molecular Epidemiology and Science for Life Laboratory, Department of Medical Sciences, Uppsala University, Uppsala, Sweden","Effect of body mass index on cardiometabolic traits","The association between adiposity and cardiometabolic traits is well known from epidemiological studies. Whilst the causal relationship is clear for some of these traits, for others it is not.","one-sample meta-analysis","HbA1c","HbA1c","metabolic","Not discussed","Current study","18+","Both",35471,NA,NA,NA,NA,"Healthy","European","BMI","BMI","Current study","18+","Both","35471",NA,NA,"Healthy","European","Age, Sex","Whenever rs9939609 was not genotyped directly, we used either (i) the HapMap II CEU (European) reference panel–imputed genetic information from genome-wide association studies (http://hapmap.ncbi.nlm.nih.gov/downloads/genotypes/2008-10_phaseII/) for rs9939609 (n = 5) or (ii) genotype information from a predefined list of proxies that are in high linkage disequilibrium (LD) with rs9939609 (n = 10, r2>0.9; Table S3)",NA,"Not discussed","Not discussed",NA,"R2 > 0.9","p>0.0001",1,NA,NA,NA,NA,"No",NA,"Inverse variance weighted (multiplicative random effects)","Not discussed",NA,NA,NA,NA,"Observational estimates were similar","Not discussed","Varied by cohort but  at least one cohort used PLINK, R, SPSS, STATA","Not discussed","Not discussed","Not discussed","No","SD","%","beta",0.007,NA,95,-0.013,0.027,0.49,"None",NA,"The limitations of our study are tied to the validity of the assumptions underlying causal interpretation within MR studies.","the precise mechanism of the FTO polymorphisms is still unclear, and potential pleiotropy cannot completely be ruled out","all studies included only individuals of European ancestry. Hence, bias from population stratification is deemed unlikely","Post hoc power calculation showed that for the binary traits with non-significant IVs (CHD, ischemic stroke, and all-cause stroke), we had an 80% chance of detecting an IV estimator odds ratio (OR) of 1.08–1.09/BMI unit or higher, and a 95% chance of detecting an OR of 1.13–1.15/BMI unit or higher.",NA,"BMI on HbA1c",0.007,-0.013,0.027
54,"metabolic_HbA1c.csv",173,"no","yes","The role of glycaemic and lipid risk factors in mediating the effect of BMI on coronary heart disease: a two-step, two-sample Mendelian randomisation study",2017,"Diabetologia","10.1007/s00125-017-4396-y","Xu","Debbie A. Lawlor","d.a.lawlor@bristol.ac.uk","MRC Integrative Epidemiology Unit, University of Bristol, UK.","Effect of body mass index on coronary heart disease and potential mediators","The extent to which effects of BMI on CHD are mediated by glycaemic and lipid risk factors is unclear. In this study we examined the effects of these traits using genetic evidence.","Two-sample summary-level","HbA1c","HbA1c","metabolic","HbA1c (%)","Dupuis 2010 Fasting glucose European both","18+","both",46368,NA,46186,NA,NA,"healthy","European","BMI","BMI","Locke 2015 BMI European adults both","18+","both","322154",322154,NA,"Healthy","Europeans",NA,NA,"< 0.1","Not discussed","p < 5×10-8","Not discussed","Yes","Not discussed",NA,NA,77,77,NA,"Not discussed",NA,"Inverse variance weighted","MR Egger",1,NA,NA,NA,"Consistent with main analysis","F > 500","STATA and R","Not discussed","Not discussed","Not discussed","Not discussed","SD","%","beta",0.05,NA,95,0.01,0.08,0.005,"Not discussed","Not discussed","Another potential limitation to our study is that we have assumed no interaction betweenBMI and mediators, but we are not able to test for this because we have used aggregated genome-wide data.","Horizontal pleiotropy is one of the major concerns in relation to limitations of MR studies. However, to explore the potential effects of this pleiotropy, we used different MR methods (IVW, medianbased estimators and MR-Egger) that have different assumptions and we assessed the consistency across each of these estimators. The mediators that we took forward into MR-based mediation analyses (triacylglycerols, HbA1c and type 2 diabetes) had consistent causal effects across these different methods for both steps (i.e. the effect ofBMI on them and of them on CHD). In the mediation analyses, where we include both genetically predicted triacylglycerols and HbA1c, we are assuming that these factors are not causally related to each other. We tested for causal relationships between potential mediators prior to our main two-step MR analyses and these do not suggest any causal effects between triacylglycerols and HbAlc or other glycaemic traits.","Not discussed","Not discussed",NA,"BMI on HbA1c",0.05,0.01,0.08
55,"metabolic_HDL_BMI_1.csv",48,"no","yes","The Role of Adiposity in Cardiometabolic Traits: A
Mendelian Randomization Analysis",2013,"PLOS Medicine","10.1371/journal.pmed.1001474","Fall","Erik Ingelsson","erik.ingelsson@medsci.uu.se","Molecular Epidemiology and Science for Life Laboratory, Department of Medical Sciences, Uppsala University, Uppsala, Sweden","Effect of body mass index on cardiometabolic traits","The association between adiposity and cardiometabolic traits is well known from epidemiological studies. Whilst the causal relationship is clear for some of these traits, for others it is not.","one-sample meta-analysis","HDL","HDL","metabolic","Not discussed","Current study","18+","Both",132782,NA,NA,NA,NA,"Healthy","European","BMI","BMI","Current study","18+","Both","132782",NA,NA,"Healthy","European","Age, Sex","Whenever rs9939609 was not genotyped directly, we used either (i) the HapMap II CEU (European) reference panel–imputed genetic information from genome-wide association studies (http://hapmap.ncbi.nlm.nih.gov/downloads/genotypes/2008-10_phaseII/) for rs9939609 (n = 5) or (ii) genotype information from a predefined list of proxies that are in high linkage disequilibrium (LD) with rs9939609 (n = 10, r2>0.9; Table S3)",NA,"Not discussed","Not discussed",NA,"R2 > 0.9","p>0.0001",1,NA,NA,NA,NA,"No",NA,"Inverse variance weighted (multiplicative random effects)","Not discussed",NA,NA,NA,NA,"Observational estimates were similar","Not discussed","Varied by cohort but  at least one cohort used PLINK, R, SPSS, STATA","Not discussed","Not discussed","Not discussed","No","SD","mmol/L","beta",-0.018,NA,95,-0.026,-0.009,1,"None",NA,"The limitations of our study are tied to the validity of the assumptions underlying causal interpretation within MR studies.","the precise mechanism of the FTO polymorphisms is still unclear, and potential pleiotropy cannot completely be ruled out","all studies included only individuals of European ancestry. Hence, bias from population stratification is deemed unlikely","Post hoc power calculation showed that for the binary traits with non-significant IVs (CHD, ischemic stroke, and all-cause stroke), we had an 80% chance of detecting an IV estimator odds ratio (OR) of 1.08–1.09/BMI unit or higher, and a 95% chance of detecting an OR of 1.13–1.15/BMI unit or higher.",NA,"BMI on HDL",-0.018,-0.026,-0.009
56,"metabolic_HDL_BMI_1.csv",65,"no","yes","Causal Effects of Body Mass Index
on Cardiometabolic Traits and Events: A Mendelian Randomization Analysis",2014,"The American Journal of Human Genetics","10.1016/j.ajhg.2013.12.014","Holmes","Michael V. Holmes,","michael.holmes@uphs.upenn.edu","Division of Transplantation, Department of Surgery, Perelman School of Medicine, University of Pennsylvania, 3400 Spruce Street, Philadelphia, PA 19104, USA; Genetic Epidemiology Group, Institute of Cardiovascular Science, Faculty of Population Health Sciences, University College London, 1–19 Torrington Place, London WC1E 6BT, UK","Effect of BMI on cardiometabolic traits and events","Elevated body mass index associates with cardiometabolic traits on observational analysis, yet the underlying causal relationships remain unclear.","One-sample","HDL","HDL","metabolic","Defined in individual cohorts","Current study","18+","both",24943,NA,NA,NA,NA,"Healthy","Manually fill","BMI","BMI","Guo 2013 BMI All ancestries both","18+","both","24943",1,"One-sample where they got exposure SNPs from external GWAS","Healthy","European","Not discussed","Not discussed","Not discussed","We also investigated the association between the GS and the traditional confounders age, gender, and smoking status.","2.4x10-6","Not discussed","Not discussed","Not discussed",NA,NA,14,11,"Not discussed","Not discussed",NA,"Two-stage-least-squares","Not discussed",NA,NA,NA,NA,"Sensitivity analysis for pleiotropic effects - but not frmal method, rather SNP lists and associations tested","F statistic (>10); r2 (0.8%)","STATA","ivreg","Not discussed","Not discussed","Not discussed","SD","mmol/L","beta",-0.02,NA,95,-0.03,-0.01,NA,NA,NA,"Our instrumental variable (causal) analysis made the assumption of a linear relationship14 between BMI and cardiometabolic traits and events. This is at odds with some published observa- tional studies","In support of our data is the concordance between our Mendelian randomized estimates for all traits (including CHD) and the clinical-trial randomized estimates from the LOOK AHEAD trial.
SNPs specific to refined adiposity phenotypes. Studies
included in this analysis contributed to the original dis-
covery analysis,23 and thus use of overlapping studies for
discovery and Mendelian randomization analysis could
theoretically result in model overfitting. Our instrumental
variable (causal) analysis made the assumption of a linear
relationship14 between BMI and cardiometabolic traits
and events. This is at odds with some published observa-
4
intervention on risk of T2D.
When we compared the estimates from the instru-
the Look AHEAD trial","We restricted our analysis to individuals of European ancestry to avoid confounding by population admixture.","not discussed",NA,"BMI on HDL",-0.02,-0.03,-0.01
57,"metabolic_HDL_BMI_1.csv",164,"no","yes","Type 2 Diabetes and Adiposity Induce Different Lipid Profile Disorders: A Mendelian Randomization Analysis",2016,"The Journal of Clinical Endocrinology and Metabolism","10.1210/jc.2017-02789","Wang","Yingli Lu","luyingli2008@126.com","Institute and Department of Endocrinology and Metabolism, Shanghai Ninth People’s Hospital, Shanghai JiaoTong University School of Medicine, Shanghai 200011","Effect of body mass index on lipids","Type 2 diabetes and obesity often coexist, so it is difficult to judge whether diabetes or obesity induce certain types of hyperlipidemia due to mutual confounds and reverse causation","One-sample","HDL","HDL","metabolic","TG, TC, HDL-C, and LDL-C were measured with a Beckman Coulter AU680","Current study","18-93","both",9798,NA,NA,NA,NA,"Healthy","Chinese","BMI","BMI","Wen 2012 Body mass index East asian both","18-93","both","9798",2,"one-sample","Healthy","East Asian","age, sex, BMI, hypertension, economic status","Not discussed","Not discussed","Tested association with confounders","Not discussed","Not discussed","Not discussed","Not discussed",NA,NA,14,13,"Additional SNP from Okada et al Nat Genet. 2012;44(3):302–306.","Not discussed",NA,"Wald ratio","Re-ran analysis with subset of SNPs",NA,NA,NA,NA,"Consistent with main analysis","F statistic = 39","SPSS","Not discussed","Not discussed","Not discussed","Not discussed","SD","mmol/L","beta",-0.409,NA,95,-0.698,-0.12,2,NA,NA,"The lipid profiles were measured only once at baseline. Hence, we were not able to control for intra- individual variability","It was difficult to use the GRSs to completely discriminate the effects of diabetes and obesity from the effects of other risk factors on changes in lipid profile because of the possible pleiotropic effects of SNPs, especially regarding the BMI_GRS","All of the participants were of Asian origin. Therefore, findings may not be applicable to other ethnicities.","Built our GRSs based only on common variants that are considered to represent limited diabetes and BMI heritability. We were unable to assess the po- tential contribution of rare variants.",NA,"BMI on HDL",-0.409,-0.698,-0.12
58,"metabolic_HDL_BMI_2.csv",170,"no","yes","Metabolic Signatures of Adiposity in Young Adults: Mendelian Randomization Analysis and Effects of Weight Change",2014,"PLOS Medicine","10.1371/journal.pmed.1001765","Wurtz","Peter Wurtz","peter.wurtz@computationalmedicine.fi","Computational Medicine, Institute of Health Sciences, University of Oulu, Oulu, Finland","Effect of body mass index on NMR metabolites","The pattern of metabolic aberrations observed cross-sectionally was compared to the causal effect estimates and longitudinal associations in order to summa- rize the influence of adiposity on the metabolic risk profile, and to clarify the metabolic consequences of weight change in early adulthood.","One-sample","HDL","HDL","metabolic","µmol/L","Current study","16-39","both",12642,NA,NA,NA,NA,"healthy","European ancestry","BMI","BMI","Speliotes 2010 BMI Europeans both","16-39","both","12642",249796,"One-sample with SNPs from external GWAS","Healthy","Europeans","not discussed","Illumina HumanHap 370k/670k and Illumina Cardio-Metabochip and iPLEX Sequenom MassARRAY (multiple cohorts)","not discussed","To assess the potential pleiotropic role of each genetic variant, we tested the effect of omitting each variant from the gene score by calculating the correspondence between cross-sectional associations and causal effect estimates","not discussed","Not discussed","Yes","Not discussed",NA,NA,32,32,NA,"Not discussed",NA,"Two-stage-least-squares",NA,NA,NA,NA,NA,"Not discussed","F-statistic = 194","Not discussed","Not discussed","No","No","Bonferroni (100 tests)","SD","SD","beta",-0.0196,NA,95,-0.0305,0.0086,5e-04,"Not discussed","Not discussed","GRS associated with BMI in individual data, metabolites require more power (sex differences apparent), larger breadth of metabolites from different platforms may help","Results were consistent when each individual variant was omitted in turn from the gene score (Table 2), suggesting that the metabolic effects are not attributable to a specific genetic variant.","Not discussed","No post-hoc test, but some metabolites require more power",NA,"BMI on HDL",-0.0196,-0.0305,0.0086
59,"metabolic_HDL_BMI_2.csv",173,"no","yes","The role of glycaemic and lipid risk factors in mediating the effect of BMI on coronary heart disease: a two-step, two-sample Mendelian randomisation study",2017,"Diabetologia","10.1007/s00125-017-4396-y","Xu","Debbie A. Lawlor","d.a.lawlor@bristol.ac.uk","MRC Integrative Epidemiology Unit, University of Bristol, UK.","Effect of body mass index on coronary heart disease and potential mediators","The extent to which effects of BMI on CHD are mediated by glycaemic and lipid risk factors is unclear. In this study we examined the effects of these traits using genetic evidence.","Two-sample summary-level","HDL","HDL","metabolic","HDL-cholesterol (1 SD = 0.4 mmol/l)","Willer 2013 HDL All ancestry both","18+","both",188577,NA,188578,NA,"Not discussed","healthy","All ancestry","BMI","BMI","Locke 2015 BMI European adults both","18+","both","322154",322154,NA,"Healthy","Europeans",NA,NA,"< 0.1","Not discussed","p < 5×10-8","Not discussed","Yes","Not discussed",NA,NA,77,77,NA,"Not discussed",NA,"Inverse variance weighted","MR Egger",1,NA,NA,NA,"Consistent with main analysis","F > 500","STATA and R","Not discussed","Not discussed","Not discussed","Not discussed","SD","SD","beta",-0.23,NA,95,-0.32,-0.15,0.001,"Not discussed","Not discussed","Another potential limitation to our study is that we have assumed no interaction betweenBMI and mediators, but we are not able to test for this because we have used aggregated genome-wide data.","Horizontal pleiotropy is one of the major concerns in relation to limitations of MR studies. However, to explore the potential effects of this pleiotropy, we used different MR methods (IVW, medianbased estimators and MR-Egger) that have different assumptions and we assessed the consistency across each of these estimators. The mediators that we took forward into MR-based mediation analyses (triacylglycerols, HbA1c and type 2 diabetes) had consistent causal effects across these different methods for both steps (i.e. the effect ofBMI on them and of them on CHD). In the mediation analyses, where we include both genetically predicted triacylglycerols and HbA1c, we are assuming that these factors are not causally related to each other. We tested for causal relationships between potential mediators prior to our main two-step MR analyses and these do not suggest any causal effects between triacylglycerols and HbAlc or other glycaemic traits.","Not discussed","Not discussed",NA,"BMI on HDL",-0.23,-0.32,-0.15
60,"metabolic_HOMA_IR_BMI.csv",77,"no","yes","Lifetime body mass index and later atherosclerosis risk in young adults: examining causal links using Mendelian randomization in the Cardiovascular Risk in Young Finns study",2008,"European Heart Journal","10.1093/eurheartj/ehn252","Kivima ̈ki","Mika Kivima ̈ki","m.kivimaki@ucl.ac.uk","Department of Epidemiology and Public Health, University College London, 1-19 Torrington Place, London WC1E 6BT, UK","Effect of BMI on atherosclerosis traits","Limitations of observational cohort studies to determine causal associations between risk factors and important chronic diseases such as coronary heart disease are well documented","One-sample","HOMA-IR","adult","metabolic","Insulin resistance was estimated according to the homeostasis model as the product of fasting glucose and insulin divided by the constant 22.5, i.e. the HOMA index.","Current study","24-39","both",2230,NA,NA,NA,NA,"Healthy","Caucasian","BMI","life time","Current study","3-39","both","2230",NA,NA,"Healthy","Caucasian","Not discussed","Not discussed","Not discussed","Not discussed","Not discussed","Not discussed","Not discussed","Hardy–Weinberg equilibrium (P . 0.20)",1,NA,NA,NA,NA,"No",NA,"Instrumental Variable Regression",NA,NA,NA,NA,NA,NA,"F statistic (>10)","Stata 9.2","Not discussed","No","Repeated in a sample of simulated data with larger sample size","Not discussed","SD","SD","beta",0.94,NA,95,-0.34,2.22,0.15,"Not discussed","Not discussed","Wider confidence intervals for effect estimates from instrumental variables analysis compared with those obtained from the standard regression models demonstrate a drawback","It is possible that FTO has other direct phenotypic effects in addition to those on BMI, and it is these that influence the outcomes","Not discussed","Not discussed",NA,"BMI on HOMA-IR",0.94,-0.34,2.22
61,"metabolic_HOMA_IR_BMI.csv",162,"no","yes","Causal Association of Overall Obesity and Abdominal Obesity with Type 2 Diabetes: A Mendelian Randomization Analysis",2018,"Obesity","10.1002/oby.22167","Wang","Cheng Hu","alfredhc@sjtu.edu.cn","Shanghai Diabetes Institute, Shanghai Key Laboratory of Diabetes Mellitus, Shanghai Clinical Centre for Diabetes, Shanghai Jiao Tong University Affiliated Sixth People’s Hospital, Shanghai, China","Effect of body mass index and waist hip ratio on insulin secretion and sensitivity traits","subjects with abdominal obesity, quantified by waist circumference (WC) or waist‐to‐hip ratio (WHR), have shown increased sensitivity to type 2 diabetes independent of overall obesity (quantified by BMI) in observational epidemiological studies","one-sample meta-analysis","HOMA-IR","HOMA-IR","metabolic","Glucose levels were measured with the glucose oxidase method, and plasma insulin levels were assayed by radioim- munoassay (Linco Research, St Charles, Missouri) in a specific cen- ter. Glycated hemoglobin (HbA1c) level was tested using high- performance liquid chromatography (VARIANT II; Bio-Rad, Hercu- les, California). Insulin sensitivity and secretion were estimated according to the homeostatic model assessments of insulin resistance and b-cell function (HOMA-IR and HOMA-B) and computations proposed by Stumvoll et al. and Gutt et al. (Stumvoll first-phase and second-phase insulin secretion and Gutt index, respectively)","Current study","Not discussed","both",6476,NA,NA,NA,NA,"Healthy","Han Chinese","BMI","BMI","Not discussed","Not discussed","both","6476",NA,NA,"Healthy","Han Chinese","age, sex","Not discussed","Not discussed","Not discussed","Not discussed","Not discussed","Not discussed","Not discussed",NA,NA,30,NA,NA,"Not discussed",NA,"Meta-analysis (fixed or random effects)","Not discussed",NA,NA,NA,NA,NA,"Not discussed","STATA","Not discussed","Not discussed","Not discussed","Bonferroni < 0.005","SD","SD","beta",0.082,NA,95,0.011,0.153,0.024,NA,NA,"the change of insulin secre- tion during follow-up differs between the 9-year cohort and the com- bined 3-year cohort (i.e., insulin secretion-related traits were increased in the SHDS cohort but decreased in the SDHS II and FADE cohorts from baseline to follow-up), which may be explained by the difference in follow-up periods, to some extent. This is possibly accounted for by the fact that the results from the 9-year cohort were not replicated in the combined 3-year cohort, even though we did not test the heteroge- neity between these cohorts with the comparable sample sizes and characteristics of subjects at baseline. Second, we did not conduct sex- specific instruments of WHR for type 2 diabetes because of the limited numbers of subjects. But we found that the WHR-GRS performed similarly in males and females. Thus, future research that explores sex-specific instruments in larger data sets may prove more conclu- sive.","Not discussed","owing to the the differences in linkage disequilibrium patterns, the generalizability of our GRS in other ethnic groups merits further investigation.","With the current sample size, the statistical power was 81% to detect the effect size of 0.147 kg/m2 for BMI with a minor allele frequency of 0.49 (as of rs6265 in BDNF) and was 61% to detect the effect size of 0.004 for WHR with a minor allele frequency of 0.41 (as of rs984222 in TBX15) given a two-sided type I error rate of 0.05","They reference their previous paper (161) for the SNPs, but the numbers dont add up and they also didnt perform a GWAS in the previous paper. They say they did MR Egger and weighted median but no info on what data they use for this analysis.","BMI on HOMA-IR",0.082,0.011,0.153
62,"metabolic_LDL_BMI_1.csv",48,"no","yes","The Role of Adiposity in Cardiometabolic Traits: A
Mendelian Randomization Analysis",2013,"PLOS Medicine","10.1371/journal.pmed.1001474","Fall","Erik Ingelsson","erik.ingelsson@medsci.uu.se","Molecular Epidemiology and Science for Life Laboratory, Department of Medical Sciences, Uppsala University, Uppsala, Sweden","Effect of body mass index on cardiometabolic traits","The association between adiposity and cardiometabolic traits is well known from epidemiological studies. Whilst the causal relationship is clear for some of these traits, for others it is not.","one-sample meta-analysis","LDL","LDL","metabolic","Not discussed","Current study","18+","Both",123026,NA,NA,NA,NA,"Healthy","European","BMI","BMI","Current study","18+","Both","123026",NA,NA,"Healthy","European","Age, Sex","Whenever rs9939609 was not genotyped directly, we used either (i) the HapMap II CEU (European) reference panel–imputed genetic information from genome-wide association studies (http://hapmap.ncbi.nlm.nih.gov/downloads/genotypes/2008-10_phaseII/) for rs9939609 (n = 5) or (ii) genotype information from a predefined list of proxies that are in high linkage disequilibrium (LD) with rs9939609 (n = 10, r2>0.9; Table S3)",NA,"Not discussed","Not discussed",NA,"R2 > 0.9","p>0.0001",1,NA,NA,NA,NA,"No",NA,"Inverse variance weighted (multiplicative random effects)","Not discussed",NA,NA,NA,NA,"Observational estimates were similar","Not discussed","Varied by cohort but  at least one cohort used PLINK, R, SPSS, STATA","Not discussed","Not discussed","Not discussed","No","SD","mmol/L","beta",0.011,NA,95,-0.012,0.035,1,"None",NA,"The limitations of our study are tied to the validity of the assumptions underlying causal interpretation within MR studies.","the precise mechanism of the FTO polymorphisms is still unclear, and potential pleiotropy cannot completely be ruled out","all studies included only individuals of European ancestry. Hence, bias from population stratification is deemed unlikely","Post hoc power calculation showed that for the binary traits with non-significant IVs (CHD, ischemic stroke, and all-cause stroke), we had an 80% chance of detecting an IV estimator odds ratio (OR) of 1.08–1.09/BMI unit or higher, and a 95% chance of detecting an OR of 1.13–1.15/BMI unit or higher.",NA,"BMI on LDL",0.011,-0.012,0.035
63,"metabolic_LDL_BMI_1.csv",65,"no","yes","Causal Effects of Body Mass Index
on Cardiometabolic Traits and Events: A Mendelian Randomization Analysis",2014,"The American Journal of Human Genetics","10.1016/j.ajhg.2013.12.014","Holmes","Michael V. Holmes,","michael.holmes@uphs.upenn.edu","Division of Transplantation, Department of Surgery, Perelman School of Medicine, University of Pennsylvania, 3400 Spruce Street, Philadelphia, PA 19104, USA; Genetic Epidemiology Group, Institute of Cardiovascular Science, Faculty of Population Health Sciences, University College London, 1–19 Torrington Place, London WC1E 6BT, UK","Effect of BMI on cardiometabolic traits and events","Elevated body mass index associates with cardiometabolic traits on observational analysis, yet the underlying causal relationships remain unclear.","One-sample","LDL","LDL","metabolic","Defined in individual cohorts","Current study","18+","both",23364,NA,NA,NA,NA,"Healthy","Manually fill","BMI","BMI","Guo 2013 BMI All ancestries both","18+","both","23364",1,"One-sample where they got exposure SNPs from external GWAS","Healthy","European","Not discussed","Not discussed","Not discussed","We also investigated the association between the GS and the traditional confounders age, gender, and smoking status.","2.4x10-6","Not discussed","Not discussed","Not discussed",NA,NA,14,11,"Not discussed","Not discussed",NA,"Two-stage-least-squares","Not discussed",NA,NA,NA,NA,"Sensitivity analysis for pleiotropic effects - but not frmal method, rather SNP lists and associations tested","F statistic (>10); r2 (0.8%)","STATA","ivreg","Not discussed","Not discussed","Not discussed","SD","mmol/L","beta",-0.04,NA,95,-0.07,-0.01,NA,NA,NA,"Our instrumental variable (causal) analysis made the assumption of a linear relationship14 between BMI and cardiometabolic traits and events. This is at odds with some published observa- tional studies","In support of our data is the concordance between our Mendelian randomized estimates for all traits (including CHD) and the clinical-trial randomized estimates from the LOOK AHEAD trial.
SNPs specific to refined adiposity phenotypes. Studies
included in this analysis contributed to the original dis-
covery analysis,23 and thus use of overlapping studies for
discovery and Mendelian randomization analysis could
theoretically result in model overfitting. Our instrumental
variable (causal) analysis made the assumption of a linear
relationship14 between BMI and cardiometabolic traits
and events. This is at odds with some published observa-
4
intervention on risk of T2D.
When we compared the estimates from the instru-
the Look AHEAD trial","We restricted our analysis to individuals of European ancestry to avoid confounding by population admixture.","not discussed",NA,"BMI on LDL",-0.04,-0.07,-0.01
64,"metabolic_LDL_BMI_1.csv",164,"no","yes","Type 2 Diabetes and Adiposity Induce Different Lipid Profile Disorders: A Mendelian Randomization Analysis",2016,"The Journal of Clinical Endocrinology and Metabolism","10.1210/jc.2017-02789","Wang","Yingli Lu","luyingli2008@126.com","Institute and Department of Endocrinology and Metabolism, Shanghai Ninth People’s Hospital, Shanghai JiaoTong University School of Medicine, Shanghai 200011","Effect of body mass index on lipids","Type 2 diabetes and obesity often coexist, so it is difficult to judge whether diabetes or obesity induce certain types of hyperlipidemia due to mutual confounds and reverse causation","One-sample","LDL","LDL","metabolic","TG, TC, HDL-C, and LDL-C were measured with a Beckman Coulter AU680","Current study","18-93","both",9798,NA,NA,NA,NA,"Healthy","Chinese","BMI","BMI","Wen 2012 Body mass index East asian both","18-93","both","9798",2,"One-sample","Healthy","East Asian","age, sex, BMI, hypertension, economic status","Not discussed","Not discussed","Tested association with confounders","Not discussed","Not discussed","Not discussed","Not discussed",NA,NA,14,13,"Additional SNP from Okada et al Nat Genet. 2012;44(3):302–306.","Not discussed",NA,"Wald ratio","Re-ran analysis with subset of SNPs",NA,NA,NA,NA,"Consistent with main analysis","F statistic = 39","SPSS","Not discussed","Not discussed","Not discussed","Not discussed","SD","mmol/L","beta",0.364,NA,95,-0.365,1.083,2,NA,NA,"The lipid profiles were measured only once at baseline. Hence, we were not able to control for intra- individual variability","It was difficult to use the GRSs to completely discriminate the effects of diabetes and obesity from the effects of other risk factors on changes in lipid profile because of the possible pleiotropic effects of SNPs, especially regarding the BMI_GRS","All of the participants were of Asian origin. Therefore, findings may not be applicable to other ethnicities.","Built our GRSs based only on common variants that are considered to represent limited diabetes and BMI heritability. We were unable to assess the po- tential contribution of rare variants.",NA,"BMI on LDL",0.364,-0.365,1.083
